"cityId","city","zip_code"
"269","Siklós","7800"
"354","Siklósbodony","7814"
"135","Siklósnagyfalu","7823"
"221","Som","8655"
"307","Somogyacsa","7283"
"392","Somogygeszti","7455"
"174","Somogyhárságy","7925"
"260","Somogyvár","8698"
"345","Sóshartyán","3131"
"127","Sükösd","6346"
"213","Szabadszentkirály","7951"
"299","Szágy","7383"
"384","Szajk","7753"
"166","Szalánta","7811"
"252","Szalatnak","7334"
"337","Szaporca","7843"
"422","Szárász","7184"
"204","Szászvár","7349"
"290","Szava","7813"
"375","Szebény","7725"
"156","Szederkény","7751"
"242","Székelyszabar","7737"
"327","Szellő","7661"
"412","Szemely","7763"
"194","Szentdénes","7913"
"280","Szentegát","7915"
"365","Szentkatalin","7681"
"146","Szentlászló","7936"
"232","Szentlőrinc","7940"
"317","Szigetvár","7900"
"402","Szilágy","7664"
"184","Szilvás","7811"
"270","Szombathely","9700"
"355","Szomód","2896"
"136","Szorosad","7285"
"222","Szuhakálló","3731"
"308","Szurdokpüspöki","3064"
"393","Tarrós","7362"
"175","Tékes","7381"
"261","Teklafalu","7973"
"346","Tengeri","7834"
"128","Tésenfa","7843"
"214","Téseny","7834"
"300","Tófő","7348"
"385","Tömörkény","6646"
"167","Tornyospálca","4642"
"253","Tótvázsony","8246"
"338","Túrkeve","5420"
"423","Udvar","7718"
"205","Újpetre","7766"
"291","Vajszló","7838"
"376","Várad","7973"
"157","Varga","7370"
"243","Vásárosbéc","7926"
"328","Vásárosdombó","7362"
"413","Vázsnok","7370"
"195","Vejti","7838"
"281","Vékény","7333"
"366","Velény","7951"
"147","Véménd","7726"
"233","Versend","7752"
"318","Villány","7773"
"403","Villánykövesd","7772"
"185","Vokány","7768"
"271","Zádor","7976"
"356","Zaláta","7839"
"137","Zengővárkony","7720"
"223","Zók","7671"
"472","Almáskamarás","5747"
"494","Battonya","5830"
"437","Békés","5630"
"459","Békéscsaba","5623"
"459","Békéscsaba","5671"
"459","Békéscsaba","5600"
"482","Békéssámson","5946"
"425","Békésszentandrás","5561"
"447","Bélmegyer","5643"
"469","Biharugra","5538"
"491","Bucsa","5527"
"434","Csabacsőd","5551"
"456","Csabaszabadi","5609"
"479","Csanádapáca","5662"
"501","Csárdaszállás","5621"
"444","Csönge","9513"
"466","Dévaványa","5510"
"489","Döbörhegy","9914"
"432","Döbrönte","8597"
"454","Dóc","6766"
"477","Ecsegfalva","5515"
"499","Elek","5742"
"442","Füzesgyarmat","5525"
"464","Gádoros","5932"
"487","Gerendás","5925"
"430","Geszt","5734"
"452","Gyomaendrőd","5502"
"452","Gyomaendrőd","5500"
"475","Gyügye","4733"
"497","Gyula","5711"
"497","Gyula","5703"
"440","Hunya","5555"
"462","Kamut","5673"
"485","Kardos","5552"
"428","Kardoskút","5945"
"450","Kaszaper","5948"
"473","Kertészsziget","5526"
"495","Kétegyháza","5741"
"438","Kétsoprony","5674"
"460","Kevermes","5744"
"483","Kisdombegyház","5837"
"426","Kömlő","3372"
"448","Kőszárhegy","8152"
"470","Kőszeg","9730"
"492","Kőszegdoroszló","9725"
"435","Kőszegszerdahely","9725"
"457","Kővágószőlős","7673"
"480","Külsősárd","8978"
"502","Lovasberény","8093"
"445","Magyarbánhegyes","5667"
"467","Magyardombegyház","5838"
"490","Medgyesbodzás","5664"
"490","Medgyesbodzás","5663"
"433","Medgyesegyháza","5752"
"433","Medgyesegyháza","5666"
"455","Méhkerék","5726"
"478","Mezőberény","5650"
"500","Mezőgyán","5732"
"443","Mezőhegyes","5820"
"465","Mezőkovácsháza","5800"
"488","Murony","5672"
"431","Nagybánhegyes","5668"
"453","Nagykamarás","5751"
"476","Nagyszénás","5931"
"498","Ófehértó","4558"
"441","Orci","7400"
"463","Ordacsehi","8635"
"486","Ordas","6335"
"429","Öregcsertő","6311"
"451","Ózd","3661"
"474","Pusztacsalád","9373"
"496","Pusztakovácsi","8707"
"439","Sarkad","5720"
"461","Sarkadkeresztúr","5731"
"484","Szabadkígyós","5712"
"427","Szarvas","5540"
"449","Szeghalom","5520"
"471","Tarhos","5641"
"493","Telekgerendás","5675"
"436","Tornyosnémeti","3877"
"458","Újkígyós","5661"
"481","Újszalonta","5727"
"503","Végegyháza","5811"
"446","Vésztő","5530"
"468","Zsadány","5537"
"795","Abaújalpár","3882"
"537","Abaújkér","3882"
"638","Abaújlak","3815"
"739","Abaújszántó","3881"
"840","Abaújszolnok","3809"
"582","Abaújvár","3898"
"683","Abod","3753"
"784","Aggtelek","3759"
"526","Alacska","3779"
"627","Alsóberecki","3985"
"728","Alsódobsza","3717"
"829","Alsógagy","3837"
"571","Alsóregmec","3989"
"672","Alsószuha","3726"
"773","Alsótelekes","3735"
"515","Alsóvadász","3811"
"616","Alsózsolca","3571"
"717","Arka","3885"
"818","Arló","3663"
"560","Arnót","3713"
"661","Ároktő","3467"
"762","Aszaló","3841"
"504","Baktakék","3836"
"605","Balajt","3780"
"706","Bánhorváti","3642"
"807","Bánréve","3654"
"549","Baskó","3881"
"650","Becskeháza","3768"
"751","Bekecs","3903"
"852","Berente","3704"
"594","Beret","3834"
"695","Berzék","3575"
"796","Bodonhely","9134"
"538","Bodony","3243"
"639","Bodorfa","8471"
"740","Bodrog","7439"
"841","Bodroghalom","3987"
"583","Bodrogkeresztúr","3916"
"684","Bodrogkisfalud","3917"
"785","Bodrogolaszi","3943"
"527","Böhönye","8719"
"628","Bojt","4114"
"729","Bókaháza","8741"
"830","Bonnya","7281"
"572","Bőny","9073"
"673","Bonyhád","7187"
"673","Bonyhád","7150"
"774","Bonyhádvarasd","7158"
"516","Börcs","9152"
"617","Bordány","6795"
"718","Borsodnádasd","3671"
"819","Borsodszirák","3796"
"561","Bükkaranyos","3554"
"662","Bükkmogyorósd","3648"
"763","Bükkösd","7682"
"505","Bükkszentmárton","3346"
"606","Bürüs","7973"
"707","Buzsák","8695"
"808","Cigánd","3973"
"550","Csenyéte","3837"
"651","Cserépfalu","3413"
"752","Cserépváralja","3417"
"853","Csernely","3648"
"595","Csincse","3442"
"696","Csobád","3848"
"797","Csobaj","3927"
"539","Csókakő","8074"
"640","Damak","3780"
"741","Dámóc","3978"
"842","Debréte","3825"
"584","Dédestapolcsány","3643"
"685","Detek","3834"
"786","Döbrököz","7228"
"528","Dozmat","9791"
"629","Dubicsány","3635"
"730","Edelény","3783"
"730","Edelény","3780"
"831","Egerlövő","3461"
"573","Egerszólát","3328"
"674","Emőd","3432"
"775","Encs","3854"
"775","Encs","3860"
"517","Erdőbénye","3932"
"618","Erdőhorváti","3935"
"719","Fáj","3865"
"820","Fancsal","3855"
